iter	RMSE
0	14.9772428
1	14.58062402
2	14.2106
3	13.84355499
4	13.47181581
5	13.14085643
6	12.81807606
7	12.49903564
8	12.21712213
9	11.91753998
10	11.61651421
11	11.33650695
12	11.12094771
13	10.8665444
14	10.63024225
15	10.38856403
16	10.21636675
17	10.0138963
18	9.816391976
19	9.626962894
20	9.440704442
21	9.250852717
22	9.089422275
23	8.916017209
24	8.766191154
25	8.619848941
26	8.475875155
27	8.337288947
28	8.201038344
29	8.081972773
30	7.963803951
31	7.85367164
32	7.750852615
33	7.647806053
34	7.53996634
35	7.439914969
36	7.350432522
37	7.252557981
38	7.161589494
39	7.082044999
40	7.004628637
41	6.931071461
42	6.858752733
43	6.800388309
44	6.732084185
45	6.669393641
46	6.608760431
47	6.548920779
48	6.49472584
49	6.4351889
50	6.384975664
51	6.333077817
52	6.284794515
53	6.247649549
54	6.204432836
55	6.161524721
56	6.120092495
57	6.08004572
58	6.04009235
59	6.00757713
60	5.970933357
61	5.939163035
62	5.915433795
63	5.890322087
64	5.859380893
65	5.831796289
66	5.800526431
67	5.77322099
68	5.747296169
69	5.726269148
70	5.701650842
71	5.682288016
72	5.662936108
73	5.643304074
74	5.620493459
75	5.601468004
76	5.582291489
77	5.562003249
78	5.543017433
79	5.526760819
80	5.512737509
81	5.495127655
82	5.47646966
83	5.457071114
84	5.445745608
85	5.433127958
86	5.425946844
87	5.412127343
88	5.398652853
89	5.382738657
90	5.369324869
91	5.357410056
92	5.351374737
93	5.337697939
94	5.324920798
95	5.313116879
96	5.30329834
97	5.292656177
98	5.279161916
99	5.269663447
100	5.253624676
101	5.240554551
102	5.233512756
103	5.224711219
104	5.216370987
105	5.206578085
106	5.199043005
107	5.189026842
108	5.18023674
109	5.17173701
110	5.164266895
111	5.15490828
112	5.146791206
113	5.136578102
114	5.130651219
115	5.12445917
116	5.11696168
117	5.11327594
118	5.107615387
119	5.102325501
120	5.094060824
121	5.089176571
122	5.083243415
123	5.077864524
124	5.072612637
125	5.069820088
126	5.065142668
127	5.059486207
128	5.052920704
129	5.045694355
130	5.042237848
131	5.037571422
132	5.030072696
133	5.026978372
134	5.018825637
135	5.008373662
136	5.003862016
137	4.997958071
138	4.99268892
139	4.987758411
140	4.983115185
141	4.978910231
142	4.973949677
143	4.969866966
144	4.968732001
145	4.964915607
146	4.960838876
147	4.955695311
148	4.94957618
149	4.946971217
150	4.942877192
151	4.938252055
152	4.932220579
153	4.927192643
154	4.921979046
155	4.916189751
156	4.912446286
157	4.909912581
158	4.904657216
159	4.90046448
160	4.895475987
161	4.892099193
162	4.888246408
163	4.884412746
164	4.87993796
165	4.875279318
166	4.870437682
167	4.864717068
168	4.861587629
169	4.859044265
170	4.853533439
171	4.849121924
172	4.84420945
173	4.841069546
174	4.839021108
175	4.836281663
176	4.832079393
177	4.828898318
178	4.824744164
179	4.820467545
180	4.818797449
181	4.813231995
182	4.808330248
183	4.805347314
184	4.800898205
185	4.800693756
186	4.797826431
187	4.79448598
188	4.791208836
189	4.788627889
190	4.782629775
191	4.78071494
192	4.776117354
193	4.773437298
194	4.771914102
195	4.76731897
196	4.762754929
197	4.760165726
198	4.754358649
199	4.750352668
200	4.746149207
201	4.742172381
202	4.738961448
203	4.735518832
204	4.732397017
205	4.729912971
206	4.725651054
207	4.723875673
208	4.721368761
209	4.717409579
210	4.714875945
211	4.712167554
212	4.710758721
213	4.707338633
214	4.703693672
215	4.698379257
216	4.695274313
217	4.693384047
218	4.690503714
219	4.687972529
220	4.684386769
221	4.681317658
222	4.680798229
223	4.678253305
224	4.676578697
225	4.672698336
226	4.666763765
227	4.664372282
228	4.662357955
229	4.65948583
230	4.655039683
231	4.651613722
232	4.650272344
233	4.648668721
234	4.646321051
235	4.641224189
236	4.638461164
237	4.633895237
238	4.630173347
239	4.624148289
240	4.622162247
241	4.621637216
242	4.616031134
243	4.61049669
244	4.605249749
245	4.603854581
246	4.600576923
247	4.597131776
248	4.593581219
249	4.591646433
250	4.588517352
251	4.582401126
252	4.577305976
253	4.572769096
254	4.567781082
255	4.564467296
256	4.55978477
257	4.553904394
258	4.549449547
259	4.544715653
260	4.541564499
261	4.539109831
262	4.538052588
263	4.533689808
264	4.531063551
265	4.529101779
266	4.527213585
267	4.524267756
268	4.520769327
269	4.513974002
270	4.512280051
271	4.509349512
272	4.508898718
273	4.505532789
274	4.501961136
275	4.496029386
276	4.491686185
277	4.487352185
278	4.483421544
279	4.478446474
280	4.476640934
281	4.472447261
282	4.467415269
283	4.466207575
284	4.461497522
285	4.458971486
286	4.454446295
287	4.452209587
288	4.450253852
289	4.445729606
290	4.441985214
291	4.438328761
292	4.432877836
293	4.427197949
294	4.422701373
295	4.422330789
296	4.418732731
297	4.415910142
298	4.415010084
299	4.411282449
300	4.40928347
301	4.406985601
302	4.405072231
303	4.40362646
304	4.39645676
305	4.393696852
306	4.389530282
307	4.384320313
308	4.383908585
309	4.383663085
310	4.381879428
311	4.378798094
312	4.376772633
313	4.371411656
314	4.370631251
315	4.369272104
316	4.364720778
317	4.36023585
318	4.355421029
319	4.355189036
320	4.353955156
321	4.348891476
322	4.346265461
323	4.343570771
324	4.341599742
325	4.337306422
326	4.332591615
327	4.331502062
328	4.325610832
329	4.32095826
330	4.318689176
331	4.317267186
332	4.311460781
333	4.306863734
334	4.301969409
335	4.30153874
336	4.300480438
337	4.298976405
338	4.294939304
339	4.289582724
340	4.285879319
341	4.281454065
342	4.277408643
343	4.272638697
344	4.272537515
345	4.268490804
346	4.264114666
347	4.261681038
348	4.256766403
349	4.256274676
350	4.253983147
351	4.251408997
352	4.246161672
353	4.245022446
354	4.242494379
355	4.239953195
356	4.236215559
357	4.233732221
358	4.233160413
359	4.22920656
360	4.224851415
361	4.219779541
362	4.217567861
363	4.21507264
364	4.211221535
365	4.207786699
366	4.202425076
367	4.2021327
368	4.201123583
369	4.198283797
370	4.195430387
371	4.194678451
372	4.190767298
373	4.185781877
374	4.18495453
375	4.182247533
376	4.178392266
377	4.173870297
378	4.170769137
379	4.170072836
380	4.165362979
381	4.160002553
382	4.157515603
383	4.153412292
384	4.153053071
385	4.149358011
386	4.14387274
387	4.139402304
388	4.135830261
389	4.132882721
390	4.129526949
391	4.129082874
392	4.127359458
393	4.124081444
394	4.122304247
395	4.118378443
396	4.118097315
397	4.115241653
398	4.11122408
399	4.107951407
400	4.106091265
401	4.102955713
402	4.10166257
403	4.097105714
404	4.096260725
405	4.092038656
406	4.089518859
407	4.086665574
408	4.082929757
409	4.079031074
410	4.075863087
411	4.072979972
412	4.069374843
413	4.065697587
414	4.064265525
415	4.063438567
416	4.060466252
417	4.056980925
418	4.05195143
419	4.049830702
420	4.047332808
421	4.043800796
422	4.039812873
423	4.035004594
424	4.031551745
425	4.028861075
426	4.023858613
427	4.020294015
428	4.020044769
429	4.019829041
430	4.017279066
431	4.016220097
432	4.015391783
433	4.015048356
434	4.01079293
435	4.007733078
436	4.004747521
437	4.001404764
438	3.999119835
439	3.998388187
440	3.996239716
441	3.992240427
442	3.987741798
443	3.983618605
444	3.980116082
445	3.978842957
446	3.977063396
447	3.975690074
448	3.974918079
449	3.97376044
450	3.970750177
451	3.96910051
452	3.965943683
453	3.962292254
454	3.96198446
455	3.959847452
456	3.957237729
457	3.957079337
458	3.954571029
459	3.951308203
460	3.948007051
461	3.946087076
462	3.944079261
463	3.940389465
464	3.939754337
465	3.936239721
466	3.935844729
467	3.934771856
468	3.931155375
469	3.928451757
470	3.924604823
471	3.92064939
472	3.920047658
473	3.916797938
474	3.915221213
475	3.912449046
476	3.910335839
477	3.908348883
478	3.906547461
479	3.904619761
480	3.902855068
481	3.899335227
482	3.894826272
483	3.892254528
484	3.888516774
485	3.888264413
486	3.884094922
487	3.880543496
488	3.878700673
489	3.878198529
490	3.876406458
491	3.874115067
492	3.873116881
493	3.871423684
494	3.869363076
495	3.866402298
496	3.86453055
497	3.862076452
498	3.858488545
499	3.855823349
500	3.854517284
501	3.851991495
502	3.850087836
503	3.84978811
504	3.846669885
505	3.845719823
506	3.842015137
507	3.83885039
508	3.834943165
509	3.834085207
510	3.830361355
511	3.828303719
512	3.825125071
513	3.821456005
514	3.819436391
515	3.817687992
516	3.816208052
517	3.813173643
518	3.811903481
519	3.811682943
520	3.808059675
521	3.80436121
522	3.802429147
523	3.800367982
524	3.796461609
