iter	Passed	Remaining
0	142	142025
1	142	71285
2	143	47697
3	144	35887
4	144	28807
5	145	24109
6	146	20741
7	146	18208
8	147	16236
9	148	14660
10	148	13371
11	149	12293
12	149	11383
13	150	10607
14	151	9931
15	151	9338
16	152	8803
17	152	8338
18	153	7923
19	154	7548
20	154	7209
21	155	6905
22	156	6627
23	156	6370
24	157	6133
25	157	5914
26	158	5711
27	159	5522
28	159	5346
29	160	5182
30	160	5029
31	161	4886
32	162	4751
33	162	4624
34	163	4505
35	164	4392
36	164	4285
37	165	4184
38	165	4088
39	166	3997
40	167	3911
41	167	3829
42	168	3749
43	169	3675
44	169	3604
45	170	3535
46	171	3469
47	171	3405
48	172	3346
49	173	3288
50	173	3233
51	174	3179
52	175	3127
53	175	3076
54	176	3028
55	176	2981
56	177	2935
57	178	2891
58	178	2849
59	179	2808
60	179	2769
61	180	2731
62	181	2694
63	181	2658
64	182	2623
65	182	2589
66	183	2557
67	184	2527
68	185	2497
69	185	2468
70	186	2439
71	187	2410
72	187	2383
73	188	2356
74	188	2330
75	198	2416
76	199	2390
77	200	2364
78	200	2339
79	201	2315
80	202	2294
81	203	2273
82	203	2251
83	204	2228
84	204	2205
85	205	2184
86	205	2161
87	207	2147
88	207	2128
89	208	2108
90	209	2089
91	209	2070
92	210	2050
93	210	2032
94	211	2015
95	212	1998
96	213	1983
97	213	1968
98	214	1952
99	215	1936
100	215	1920
101	216	1905
102	217	1891
103	217	1876
104	218	1862
105	219	1847
106	219	1833
107	220	1819
108	221	1806
109	221	1793
110	222	1780
111	223	1768
112	223	1756
113	224	1743
114	224	1731
115	225	1719
116	226	1707
117	226	1694
118	227	1682
119	228	1672
120	228	1661
121	229	1650
122	230	1640
123	230	1629
124	231	1619
125	231	1607
126	232	1597
127	232	1587
128	233	1577
129	234	1567
130	234	1556
131	235	1547
132	235	1538
133	236	1528
134	237	1519
135	237	1510
136	238	1502
137	240	1503
138	241	1496
139	242	1487
140	242	1479
141	243	1470
142	244	1462
143	244	1454
144	245	1445
145	245	1437
146	246	1429
147	246	1421
148	247	1413
149	248	1406
150	248	1398
151	249	1391
152	250	1384
153	250	1377
154	251	1370
155	252	1363
156	252	1356
157	253	1349
158	253	1342
159	254	1335
160	255	1328
161	255	1323
162	256	1317
163	257	1310
164	257	1304
165	258	1298
166	258	1291
167	259	1285
168	260	1279
169	260	1273
170	261	1267
171	262	1261
172	262	1255
173	263	1249
174	263	1243
175	264	1238
176	265	1232
177	265	1226
178	266	1221
179	266	1215
180	267	1210
181	268	1204
182	268	1199
183	269	1194
184	269	1189
185	270	1182
186	270	1177
187	271	1172
188	272	1167
189	272	1162
190	273	1157
191	273	1152
192	274	1147
193	275	1143
194	275	1138
195	276	1133
196	276	1128
197	277	1124
198	278	1120
199	278	1115
200	279	1111
201	280	1106
202	280	1101
203	281	1097
204	281	1093
205	282	1088
206	283	1084
207	284	1081
208	284	1077
209	285	1073
210	285	1069
211	286	1064
212	287	1060
213	287	1056
214	288	1052
215	289	1048
216	289	1044
217	290	1040
218	290	1037
219	291	1033
220	292	1029
221	292	1025
222	293	1021
223	293	1017
224	294	1014
225	295	1010
226	295	1006
227	296	1003
228	296	999
229	297	995
230	298	992
231	299	990
232	300	990
233	301	987
234	302	983
235	302	980
236	303	977
237	304	974
238	305	971
239	305	967
240	306	964
241	306	960
242	307	957
243	307	954
244	308	950
245	309	947
246	309	944
247	310	941
248	311	938
249	311	935
250	312	932
251	313	929
252	313	926
253	314	923
254	314	920
255	315	917
256	316	914
257	316	911
258	317	908
259	318	905
260	318	902
261	319	899
262	319	896
263	320	893
264	321	890
265	321	887
266	322	884
267	322	881
268	323	879
269	324	876
270	324	873
271	325	870
272	325	867
273	326	865
274	327	862
275	327	860
276	328	857
277	329	854
278	329	852
279	330	849
280	331	847
281	331	844
282	332	841
283	332	839
284	333	836
285	334	834
286	334	831
287	335	829
288	335	826
289	336	824
290	337	821
291	337	819
292	338	816
293	339	814
294	339	811
295	340	809
296	340	806
